date,Bank_Momentum,VNIndex_Momentum,Excess Return
2025-06-02,0.9471428571428572,0.28,0.6671428571428571
2025-06-03,0.30333333333333334,0.82,-0.5166666666666666
2025-06-04,-0.268095238095238,-0.11,-0.158095238095238
2025-06-05,-0.5361904761904762,-0.27,-0.2661904761904762
2025-06-06,-0.6033333333333333,-0.91,0.30666666666666675
2025-06-09,-0.8361904761904762,-1.45,0.6138095238095238
2025-06-10,0.5138095238095238,0.43,0.08380952380952383
2025-06-11,0.0023809523809523777,-0.08,0.08238095238095237
2025-06-12,1.4766666666666666,0.59,0.8866666666666666
2025-06-13,-0.5738095238095239,-0.57,-0.003809523809523929
2025-06-16,1.4133333333333333,1.72,-0.30666666666666664
2025-06-17,0.63,0.72,-0.08999999999999997
2025-06-18,-0.36142857142857143,-0.06,-0.30142857142857143
2025-06-19,0.22523809523809527,0.39,-0.16476190476190475
2025-06-20,0.6771428571428572,-0.2,0.8771428571428572
2025-06-23,-0.6585714285714286,0.65,-1.3085714285714287
2025-06-24,0.42952380952380953,0.63,-0.20047619047619047
2025-06-25,0.31857142857142856,0.0,0.31857142857142856
2025-06-26,-0.043333333333333335,-0.08,0.03666666666666667
2025-06-27,0.17714285714285719,0.42,-0.2428571428571428
2025-06-30,0.2042857142857143,0.34,-0.13571428571428573
2025-07-01,0.18047619047619048,0.13,0.05047619047619048
2025-07-02,0.6252380952380953,0.49,0.13523809523809527
2025-07-03,0.25761904761904764,-0.19,0.44761904761904764
2025-07-04,0.6152380952380953,0.36,0.25523809523809526
2025-07-07,2.2804761904761905,1.09,1.1904761904761905
2025-07-08,0.5461904761904762,0.96,-0.41380952380952374
2025-07-09,1.162857142857143,1.12,0.04285714285714293
2025-07-10,0.2965,1.0,-0.7035
2025-07-11,0.2925,0.84,-0.5475
2025-07-14,0.7939999999999999,0.87,-0.07600000000000007
2025-07-15,-0.0865,-0.66,0.5735
2025-07-16,1.027,0.45,0.577
2025-07-17,0.48550000000000004,1.56,-1.0745
2025-07-18,0.776,0.49,0.28600000000000003
2025-07-21,0.471,-0.82,1.291
2025-07-22,1.6566666666666667,1.65,0.006666666666666821
2025-07-23,0.5042857142857142,0.18,0.32428571428571423
2025-07-24,1.5157142857142858,0.58,0.9357142857142858
2025-07-25,1.2642857142857142,0.66,0.6042857142857142
2025-07-28,3.3476190476190473,1.72,1.6276190476190473
2025-07-29,-5.344285714285714,-4.11,-1.234285714285714
2025-07-30,1.8090476190476192,0.95,0.8590476190476193
2025-07-31,0.48761904761904773,-0.34,0.8276190476190477
2025-08-01,-0.4723809523809524,0.95,-1.4223809523809523
2025-08-04,2.87,1.36,1.51
2025-08-05,0.8476190476190476,1.24,-0.3923809523809524
2025-08-06,2.1785714285714284,1.72,0.4585714285714284
2025-08-07,1.6638095238095236,0.51,1.1538095238095236
2025-08-08,0.04476190476190472,0.2,-0.15523809523809529
2025-08-11,1.0833333333333333,0.98,0.10333333333333328
2025-08-12,0.6309523809523809,0.49,0.14095238095238094
2025-08-13,0.6333333333333333,0.21,0.42333333333333334
2025-08-14,4.10625,1.81,2.29625
2025-08-15,-0.6076190476190476,-0.65,0.04238095238095241
2025-08-18,0.06857142857142857,-0.12,0.18857142857142856
2025-08-19,1.8466666666666667,1.09,0.7566666666666666
2025-08-20,1.1390476190476189,0.61,0.5290476190476189
2025-08-21,4.065714285714286,1.42,2.645714285714286
2025-08-22,-2.633809523809524,-2.52,-0.11380952380952403
2025-08-25,-5.413333333333334,-1.91,-3.503333333333334
2025-08-26,3.8585714285714285,3.32,0.5385714285714287
2025-08-27,-0.57,0.32,-0.8899999999999999
2025-08-28,0.660952380952381,0.48,0.18095238095238098
2025-08-29,0.9633333333333334,0.08,0.8833333333333334
